..##.####. ....#.#### #.##.##.#. .##.###..# ####..##.# #....##### ##.###.##. .#.###.### ######.### #.###..... .#.#.##... ..###.#...
......#... ...#.....# #...#..... ....#....# #....##.#. .#.......# #......#.. .........# ####.....# ##...##..# #........# #........#
..#....#.# #.#....#.# ###..#..## ##.#....## #..#.#.### #..#.....# #..#...... .#.......# #..#.##..# ##...#.#.. .....###.. .....##..#
..##.....# #.....#... .##..#.... ...###...# #...#....# #...#..... .......#.# ####....## #......... .#....#..# ##.....#.. ..##..#..#
..##....#. .......#.. ......#.## ##....#..# ##.#...... ......#... ..##...... ..#...##.# #..#....#. ..#..#...# ##......## #...##..##
#..#....#. .......#.# #.#.##..#. ..##...### ####.....# #...#..... ....#...## ##.#.##..# ##.#.#...# ##.#.#..## ##..#...## ##..#....#
.#.....#.# #....#..## #..#..#..# ###.#.#### #.##.....# #...#....# #...#..#.. ...#...##. .#....##.. ....###.## #...#....# #....#....
....#..#.. ...#.##.## #......##. .......#.# #....#...# #..#...... ....#.#... .#..#..##. .##..##.## #..#...#.# #........# #..#.....#
#..#...... .....#...# #......... ...#...... .....#.... .#.....### #......... ...#.....# ##...#.... .##......# #.#.#..... ......#...
#.##.##.## ##.##.#... ...###.### #..#..#### #.#....... ......#.## ###..##.#. ...#.#..## ##.####### #....##.## #....#.#.# #.##...#..

#.##.##.## ##.##.#... ...###.### #..#..#### #.#....... ......#.## ###..##.#. ...#.#..## ##.####### #....##.## #....#.#.# #.##...#..
#........# ##......#. .........# #........# #.#....#.. ...#..#..# #.##.#..#. ..#....#.. .......... .#.##..#.# ###......# #......#..
..#.#..... ...#.##..# #........# #...####.. ....#.#... .........# #....###.# #....#...# #.......#. .#.#.##..# #....#..#. .#.#....##
##.....### #.#.#....# ##....#... .........# #..#....## #..#..#.#. .#....##.# #...####.. .#....#### #...##..## ####....#. .##.......
......#... .###.....# #..#..#... .......... .##.#.#.#. ....#..#.. ..#..#..## ####..#... ...##.#.#. .#.##.#..# ##..#..#.# #..#...#..
#.#.#..... .###...##. ...#####.. ..#.#....# #.##.#.#.. .......... ..##...... .........# ##......#. ...##...## #.#..#...# ##..#..#.#
.#..##..## #..#..#.#. .#..#..#.. .....#.#.. ..#.#....# #......... ...#....## #..###.#.. .##......# #.##.....# #..##.##.# #.#.......
#.#...#... .#..#.#..# #......... ..#.....#. .......#.. .....#.#.# ##..##.### #.##.#..#. .###.##..# #.#..#.... ...#...### #.#.......
.#.#...### #.....#... ...###.##. ......#... .......... ....##..#. ...#..#.## ##..#.##.# ##.#.#.... ..#..#.... ...#.##..# #...##...#
#..#..###. .#.#.####. ..#.##.##. ..#...#### #..#.....# ##.#..#### #.#..##.#. .##.#..##. ...#.##..# ####..###. .#.#..###. ...######.

#..#..###. .#.#.####. ..#.##.##. ..#...#### #..#.....# ##.#..#### #.#..##.#. .##.#..##. ...#.##..# ####..###. .#.#..###. ...######.
#......### #......... ......#... .##.#..##. .##..#.... ......#.#. .#....##.# #.....##.# ###....#.. ..##...### #....##... ...###..##
.......... ..#.##..#. ..##.#..## ##..#.#### ##...###.. ..#.#..... ....#....# ##....#..# ##.#.#..#. .####.#..# ###.##.#.# #.#......#
